Year,City,ONS Code,Train operator,AM peak arrivals (07:00-09:59): Number of services,AM peak arrivals (07:00-09:59): PIXC ,AM peak arrivals (07:00-09:59): Passengers standing ,PM peak arrivals (16:00-18:59): Number of services,PM peak arrivals (16:00-18:59): PIXC ,PM peak arrivals (16:00-18:59): Passengers standing ,Notes,Notes1
2011,Nottingham,E06000018,Total,34,0,0.00826674854635577,40,0.00292646468323074,0.0266769304583,,
2011,Sheffield,E08000019,CrossCountry,12,0.0752140412534984,0.0752140412534984,12,0,0,,
2011,Sheffield,E08000019,East Midlands Trains,11,0,0.0462892787834587,12,0,0.0320338650927566,,
2011,Sheffield,E08000019,First TransPennine Express,5,0,0.00675837668745666,6,0.01751422904975,0.122491899859854,,
2011,Sheffield,E08000019,Northern Rail,30,0.00474083438685209,0.0657395701643489,32,0.0209914011127972,0.119878603945372,,
2011,Sheffield,E08000019,Total,58,0.0213888183152913,0.0596360068462705,62,0.0114993621379843,0.074352915949779,,
2012,Birmingham,E08000025,Arriva Trains Wales,6,0,0.0529411764705882,6,0,0.0425284358763465,,
2012,Birmingham,E08000025,Chiltern Railways [note 2],8,0,0.178192831903079,7,0,0.000816326530612245,,
2012,Birmingham,E08000025,CrossCountry,36,0.016979817673864,0.0707747392679571,42,0.0351051936569251,0.0917103047854424,,
2012,Birmingham,E08000025,London Midland [note 4],115,0.00256957621758381,0.0757827324478178,119,0.00567571713452984,0.0877435189446234,,
2012,Birmingham,E08000025,Virgin Trains,15,0,0.0140713905130578,15,0,0.0307981563322048,,
2012,Birmingham,E08000025,Total [note 4],180,0.00461729856884521,0.0756340855663044,189,0.0105708184061673,0.0793242938826496,,
2012,Bristol,E06000023,CrossCountry,9,0.000155390809630786,0.0128430643992433,10,0.021947350991548,0.0278308534457105,,
2012,Bristol,E06000023,First Great Western,42,0.00619305859238734,0.0704746167995075,42,0,0.0671895233828077,,
2012,Bristol,E06000023,South West Trains,1,,,0,,,[r],[x]
2012,Bristol,E06000023,Total,52,0.00513814938524541,0.0603042056313796,52,0.00443383428971499,0.0592382302890817,,
2012,Cardiff,W06000015,Arriva Trains Wales,96,0.00666787274183961,0.086758156083357,97,0,0.0444876002087354,,
2012,Cardiff,W06000015,CrossCountry,3,0,0,3,0,0,,
2012,Cardiff,W06000015,First Great Western,15,0,0,15,0,0,,
2012,Cardiff,W06000015,Total,114,0.00530683628517803,0.0690492078304534,115,0,0.0336426862241112,,
2012,Leeds,E08000035,CrossCountry,4,0,0,8,0.00836366109744349,0.0478212048862126,,
2012,Leeds,E08000035,East Coast,6,0,0,6,0,0,,
2012,Leeds,E08000035,First TransPennine Express,22,0.0252962108210349,0.204850392831458,25,0.0342151538441585,0.220025915437928,,
2012,Leeds,E08000035,Northern Rail,81,0.0229506195446499,0.119208936092291,77,0.00998219735503561,0.100457782299084,,
2012,Leeds,E08000035,Total,113,0.0215825706394366,0.127694169423071,116,0.0145391483474361,0.116984449998891,,
2012,Leicester,E06000016,CrossCountry,10,0,0,10,0,0.0032756068937046,,
2012,Leicester,E06000016,East Midlands Trains,28,0.00410184617191406,0.00610308106280614,27,0.01518199855906,0.035001337615881,,
2012,Leicester,E06000016,Total,38,0.00327399565001509,0.00487133354442513,37,0.0122269054575198,0.0288260974040134,,
2012,Liverpool,E08000012,East Midlands Trains,2,,,3,0,0,[r],
2012,Liverpool,E08000012,First TransPennine Express,3,0,0,3,0,0.167122918660357,,
2012,Liverpool,E08000012,London Midland,6,0,0,6,0,0,,
2012,Liverpool,E08000012,Merseyrail [note 2],90,0.0009268413247652,0.0422021749876421,95,0.00220816423967534,0.0466101694915254,,
2012,Liverpool,E08000012,Northern Rail,23,0.00850288490737929,0.070452474946857,26,0.00102145045965271,0.093973442288049,,
2012,Liverpool,E08000012,Virgin Trains,2,,,3,0,0,[r],
2012,Liverpool,E08000012,TotalR,126,0.00204517074081442,0.0435193308801209,136,0.00178811704193999,0.0540775047093228,,
2012,London ,E12000007,c2c,48,0.0460574348990022,0.24771842297396,44,0.00956425537989365,0.14207201741551,,
2012,London ,E12000007,Chiltern Railways [note 2],41,0.0865794278758369,0.11488131466829,44,0.00895719404110881,0.0252687158212333,,
2012,London ,E12000007,East Coast,14,0,0,16,0.00218233706007669,0.00218233706007669,,
2012,London ,E12000007,East Midlands Trains,13,0.0717056598946523,0.0717056598946523,15,0.0881266471830493,0.0881266471830493,,
2012,London ,E12000007,First Capital Connect,120,0.0188449082305006,0.117237810134552,124,0.0066596025222104,0.0723786523928458,,
2012,London ,E12000007,First Great Western,66,0.0960065748117547,0.152519826860397,60,0.0442258997241074,0.102866908207782,,
2012,London ,E12000007,Greater Anglia [note 2],159,0.042523584324067,0.136070953885551,155,0.0179413209536434,0.07525406599192,,
2012,London ,E12000007,London Midland,25,0.0182424758659852,0.120528109028961,24,0.0744780755616557,0.139998555226468,,
2012,London ,E12000007,London Overground,8,0,0.479732739420935,9,0,0.408374606033318,,
2012,London ,E12000007,South West Trains,148,0.0507559501063131,0.277638966459919,149,0.031759695541863,0.223280627038782,,
2012,London ,E12000007,Southeastern,206,0.0212256828490727,0.185813701659132,198,0.00200670813863486,0.0961786543588567,,
2012,London ,E12000007,Southern,165,0.0570284931795439,0.250571443619318,157,0.0170537205668409,0.134584298722992,,
2012,London ,E12000007,Virgin Trains,28,0.00720298322936202,0.00720298322936202,32,0.0130628193231853,0.0130628193231853,,
2012,London ,E12000007,Total,1041,0.0417374763310819,0.197764034912555,1027,0.0177346678992365,0.123554550661453,,
2012,Manchester,E08000003,Arriva Trains Wales,7,0.06626868941344,0.06626868941344,7,0,0.0135021097046414,,
2012,Manchester,E08000003,CrossCountry,6,0,0.03227429528327,6,0.0208803897948902,0.119701439541685,,
2012,Manchester,E08000003,East Midland Trains,6,0,0.0966827360018967,6,0,0.0609494851772511,,
2012,Manchester,E08000003,First TransPennine Express,37,0.030771984605844,0.254691914292397,38,0.00989007673689858,0.232444411184682,,
2012,Manchester,E08000003,Northern Rail,115,0.0167323365898419,0.0774545258271712,116,0.0102990691225985,0.0940285204991087,,
2012,Manchester,E08000003,Virgin Trains,5,0,0,9,0.0265003780421161,0.0795011341263484,,
2012,Manchester,E08000003,Total,176,0.0203941282671232,0.118442900683636,182,0.010822658650754,0.120674194191752,,
2012,Newcastle,E08000021,CrossCountry,7,0,0.00459446337189902,9,0,0,,
2012,Newcastle,E08000021,East Coast,11,0,0,9,0,0,,
2012,Newcastle,E08000021,First TransPennine Express,2,,,3,0,0.20810943618638,[r],
2012,Newcastle,E08000021,Northern Rail,13,0,0.0399144689950107,17,0.00961538461538462,0.0638736263736264,,
2012,Newcastle,E08000021,Total,33,0,0.0151123152632352,38,0.00269129885663623,0.0410646837913391,,
2012,Nottingham,E06000018,CrossCountry,5,0,0,6,0,0,,
2012,Nottingham,E06000018,East Midlands Trains,26,0.00203335174217466,0.0315817511251611,31,0,0.0271273608240208,,
2012,Nottingham,E06000018,Northern Rail,3,0,0,3,0,0,,
2012,Nottingham,E06000018,Total,34,0.00164655961553891,0.0255741468198099,40,0,0.0216443919721207,,
2012,Sheffield,E08000019,CrossCountry,12,0.0779723139654103,0.0779723139654103,12,0,0,,
2012,Sheffield,E08000019,East Midlands Trains,11,0,0.00492368490714962,12,0.00456596809851821,0.00456596809851821,,
2012,Sheffield,E08000019,First TransPennine Express,5,0.0371395537074532,0.126326867689831,6,0.0922077931489541,0.220853596097954,,
2012,Sheffield,E08000019,Northern Rail,30,0,0.0609756097560976,33,0.00367466927976482,0.0970112689857913,,
2012,Sheffield,E08000019,Total,58,0.0231910426352861,0.0631819162583669,63,0.0138300082957468,0.0718249303077462,,
2013,Birmingham,E08000025,Arriva Trains Wales,6,0,0.0227912898684275,6,0,0.0214267698103972,,
2013,Birmingham,E08000025,Chiltern Railways [note 2],10,0,0.130516431924883,8,0,0.0311004784688995,,
2013,Birmingham,E08000025,CrossCountry,36,0.022574862644965,0.0895339008943261,42,0.039295686775276,0.0990850752735627,,
2013,Birmingham,E08000025,London Midland,115,0.00499412455934195,0.0978628084606346,118,0.00281846838494345,0.0983126274800667,,
2013,Birmingham,E08000025,Virgin Trains,15,0,0,15,0,0.0132648597955315,,
2013,Birmingham,E08000025,Total,182,0.00711485045234692,0.089566996017212,189,0.00915423055861253,0.085347620278319,,
2013,Bristol,E06000023,CrossCountry,9,0.0144588833001435,0.0384869868793933,10,0.021104397282607,0.0337133411774355,,
2013,Bristol,E06000023,First Great Western,42,0.0119260155925349,0.0530358101160216,42,0.00455382580164625,0.0854673594854722,,
2013,Bristol,E06000023,Total,51,0.0123527601913051,0.0505845838968067,52,0.00780812012205168,0.0752911061741137,,
2013,Cardiff,W06000015,Arriva Trains Wales,96,0.0120847091895933,0.100349471770269,99,0.00476019930051582,0.0668534830866265,,
2013,Cardiff,W06000015,CrossCountry,3,0,0,3,0,0.012388162422574,,
2013,Cardiff,W06000015,First Great Western,15,0,0,15,0,0,,
2013,Cardiff,W06000015,Total,114,0.00954409133068824,0.0792525917286061,117,0.00374722461778915,0.0528739209054623,,
2013,Leeds,E08000035,CrossCountry,4,0.0242483355168584,0.0497787669346081,8,0.020081895659812,0.0640738914803911,,
2013,Leeds,E08000035,East Coast,6,0,0,6,0,0,,
2013,Leeds,E08000035,First TransPennine Express,22,0.0332997033877649,0.208918030433876,25,0.041441423881243,0.216522077500837,,
2013,Leeds,E08000035,Northern Rail,81,0.0111864603257405,0.117660696690431,78,0.00886675573909875,0.107919348961496,,
2013,Leeds,E08000035,Total,113,0.0154016340347635,0.127073678089243,117,0.0155861987342026,0.119655549278453,,
2013,Leicester,E06000016,CrossCountry,10,0,0,10,0,0.00292393995210167,,
2013,Leicester,E06000016,East Midlands Trains,28,0.0143497356839368,0.0227406828211541,27,0.0113033978343243,0.037363381541359,,
2013,Leicester,E06000016,Total,38,0.0115576631046367,0.0183159576319243,37,0.00897407332871334,0.0302663443115613,,
2013,Liverpool,E08000012,East Midlands Trains,2,,,3,0,0,[r],
2013,Liverpool,E08000012,First TransPennine Express,3,0,0,3,0,0.141051415527199,,
2013,Liverpool,E08000012,London Midland,6,0,0,6,0,0,,
2013,Liverpool,E08000012,Merseyrail [note 2],90,0.000611920205605189,0.0447925590502998,95,0.000475398145947231,0.052234371285952,,
2013,Liverpool,E08000012,Northern Rail,23,0.0129070108536228,0.0689351716045761,26,0,0.104690334283493,,
2013,Liverpool,E08000012,Virgin Trains,2,,,3,0,0,[r],
2013,Liverpool,E08000012,Total,126,0.00254132124645405,0.045508474913353,136,0.000346696566560543,0.0590726992167385,,
2013,London ,E12000007,c2c,47,0.0600534743293177,0.265418932315919,44,0.0161528679932639,0.163040863319243,,
2013,London ,E12000007,Chiltern Railways [note 2],44,0.0352834740651387,0.069059107358263,44,0.0118869419741129,0.0320507176190895,,
2013,London ,E12000007,East Coast,14,0.00468670410510837,0.00468670410510837,16,0,0,,
2013,London ,E12000007,East Midlands Trains,13,0.125189839567169,0.125189839567169,15,0.0912183847809378,0.0912183847809378,,
2013,London ,E12000007,First Capital Connect,120,0.0362739355850388,0.179080073546705,124,0.0109262396773905,0.0813573412477688,,
2013,London ,E12000007,First Great Western,64,0.0976850992086514,0.161938698980456,60,0.0868410275339368,0.151987099159735,,
2013,London ,E12000007,Greater Anglia [note 2],159,0.0349974915707688,0.134770986951069,155,0.0153006734856111,0.0749000445926876,,
2013,London ,E12000007,London Midland,26,0.0700520217545519,0.208973752660203,25,0.0834640727957327,0.195920928773141,,
2013,London ,E12000007,London Overground,8,0,0.50779603876949,9,0,0.454318936877076,,
2013,London ,E12000007,South West Trains,148,0.0506066709240065,0.27674018765044,149,0.030005132897409,0.226695529915865,,
2013,London ,E12000007,Southeastern,205,0.0175647780369479,0.192936827906907,198,0.00207981281684648,0.116302389927764,,
2013,London ,E12000007,Southern,156,0.0453385568320186,0.244756207316428,147,0.0112070475087218,0.129190856557874,,
2013,London ,E12000007,Virgin Trains,28,0.00304459557172707,0.00304459557172707,32,0.00138648443838575,0.00138648443838575,,
2013,London ,E12000007,Total,1032,0.0406149727185557,0.207124258113759,1018,0.0197249057415339,0.134355922406062,,
2013,Manchester,E08000003,Arriva Trains Wales,7,0.0272294875884196,0.0272294875884196,7,0,0.0489534737046298,,
2013,Manchester,E08000003,CrossCountry,6,0,0.0331185789221952,6,0.0206361945134973,0.126292386319936,,
2013,Manchester,E08000003,East Midland Trains,6,0.00306878779844415,0.0921538924179852,6,0.00433553389003046,0.0843761595521312,,
2013,Manchester,E08000003,First TransPennine Express,37,0.0612143728758973,0.317329975623701,38,0.0102057319054817,0.199159634272151,,
2013,Manchester,E08000003,Northern Rail,116,0.0168993387215283,0.127700220426157,116,0.00632411067193676,0.117490118577075,,
2013,Manchester,E08000003,Virgin Trains,5,0,0,9,0.00197237022310224,0.0367009643756455,,
2013,Manchester,E08000003,Total,177,0.0256058976909705,0.158684697389965,182,0.00687801212397177,0.122915150796507,,
2013,Newcastle,E08000021,CrossCountry,7,0,0.0241652832540722,9,0,0.0247959492649101,,
2013,Newcastle,E08000021,East Coast,11,0,0,9,0,0,,
2013,Newcastle,E08000021,First TransPennine Express,2,,,3,0,0.16410799148425,[r],
2013,Newcastle,E08000021,Northern Rail,13,0,0.0147167034584253,17,0,0.0300925925925926,,
2013,Newcastle,E08000021,Total,33,0,0.0207207839876719,38,0,0.0321897807743835,,
2013,Nottingham,E06000018,CrossCountry,5,0,0,6,0,0,,
2013,Nottingham,E06000018,East Midlands Trains,26,0,0.0224001921554661,31,0,0.0242357198322225,,
2013,Nottingham,E06000018,Northern Rail,3,0,0,3,0,0,,
2013,Nottingham,E06000018,Total,34,0,0.0177755552008968,40,0,0.0189513834481448,,
2013,Sheffield,E08000019,CrossCountry,12,0.107098955635511,0.107098955635511,12,0.0130190803420623,0.0172382267492121,,
2013,Sheffield,E08000019,East Midlands Trains,11,0,0,12,0,0,,
2013,Sheffield,E08000019,First TransPennine Express,5,0.0406915160953197,0.14388779923798,6,0.0758298000499174,0.183440374941491,,
2013,Sheffield,E08000019,Northern Rail,30,0.0169683257918552,0.0726809954751131,33,0.00679281901989326,0.0880640465793304,,
2013,Sheffield,E08000019,Total,58,0.0395044647417483,0.0775985320845087,63,0.0148649379481472,0.064888641843046,,
2014,Birmingham,E08000025,Arriva Trains Wales,6,0,0.0159724294787402,6,0,0.0043046368824262,,
2014,Birmingham,E08000025,Chiltern Railways [note 2],9,0,0.169887640449438,8,0,0,,
2014,Birmingham,E08000025,CrossCountry,36,0.00535714285714286,0.02375,42,0.00174403005097934,0.0382345049637778,,
2014,Birmingham,E08000025,London Midland,115,0.0205677668297389,0.140735891958933,118,0.0104834642265293,0.10166438504215,,
2014,Birmingham,E08000025,Virgin Trains,13,0,0,12,0.00739223263516328,0.0244080289062475,,
2014,Birmingham,E08000025,Total,179,0.0155393916290814,0.114252943237744,186,0.00804764959921844,0.0780171635715515,,
2014,Bristol,E06000023,CrossCountry,9,0,0,10,0.00268384326355341,0.00697799248523886,,
2014,Bristol,E06000023,First Great Western,42,0,0.037411549482793,41,0.0018634022798579,0.0879629590505537,,
2014,Bristol,E06000023,South West Trains,1,,,0,,,[r],[x]
2014,Bristol,E06000023,Total,52,0,0.0368933833488968,51,0.00202642050969639,0.0718715811752784,,
2014,Cardiff,W06000015,Arriva Trains Wales,96,0.00632863548110424,0.108448796330813,98,0.00657498732771762,0.0621052184415476,,
2014,Cardiff,W06000015,CrossCountry,3,0,0,3,0,0.0185873605947955,,
2014,Cardiff,W06000015,First Great Western,15,0,0,15,0,0,,
2014,Cardiff,W06000015,Total,114,0.00518966553346567,0.088931173575138,116,0.00519205649457706,0.0494212037810973,,
2014,Leeds,E08000035,CrossCountry,5,0.0109649122807018,0.0120614035087719,8,0,0.0287769784172662,,
2014,Leeds,E08000035,East Coast,6,0,0,6,0,0,,
2014,Leeds,E08000035,First TransPennine Express,29,0.00407966065024357,0.132661117431927,31,0.0157909130998633,0.114923076855893,,
2014,Leeds,E08000035,Northern Rail,80,0.0233286713286713,0.133706293706294,78,0.0168758882046424,0.120262908574135,,
2014,Leeds,E08000035,Total,120,0.0175967610628879,0.123052159802862,123,0.0143784695140103,0.104977714733184,,
2014,Leicester,E06000016,CrossCountry,10,0,0,10,0,0.0088261253309797,,
2014,Leicester,E06000016,East Midlands Trains,27,0.0121201610883095,0.0121201610883095,27,0.0356118865186577,0.0707330580656016,,
2014,Leicester,E06000016,Total,37,0.0104661223765364,0.0104661223765364,37,0.0287592207836322,0.0588205322720351,,
2014,Liverpool,E08000012,East Midlands Trains,2,,,3,0,0,[r],
2014,Liverpool,E08000012,First TransPennine Express,5,0,0,6,0,0,,
2014,Liverpool,E08000012,London Midland,6,0,0,6,0,0,,
2014,Liverpool,E08000012,Merseyrail [note 2],90,0,0.035268925557375,95,0,0.0328032429061428,,
2014,Liverpool,E08000012,Northern Rail,23,0,0.0503660322108346,26,0.0221830098311066,0.174187043105621,,
2014,Liverpool,E08000012,Virgin Trains,2,,,3,0,0,[r],
2014,Liverpool,E08000012,Total,128,0,0.0350716153006575,139,0.0039276379166095,0.0543174470967473,,
2014,London ,E12000007,c2c,48,0.0698393608796495,0.282192251524783,44,0.0239620878387398,0.177045788279268,,
2014,London ,E12000007,Chiltern Railways [note 2],44,0.0486912871997132,0.0992470419505199,44,0.0284549463349696,0.063316415675181,,
2014,London ,E12000007,East Coast,14,0.00508795106828513,0.00508795106828513,16,0.00219896692496565,0.00219896692496565,,
2014,London ,E12000007,East Midlands Trains,14,0.117851842351174,0.117851842351174,15,0.129514849217284,0.158646915572391,,
2014,London ,E12000007,First Great Western,65,0.134541647487179,0.207355355431743,60,0.0604908751673524,0.126530848983295,,
2014,London ,E12000007,Govia Thameslink Railway,118,0.0746893517884194,0.229282059034208,125,0.0515244476405198,0.166960446307517,,
2014,London ,E12000007,Greater Anglia [note 2],159,0.0548553296271168,0.163877319621625,155,0.0210377643730637,0.0879031442868101,,
2014,London ,E12000007,London Midland,26,0.0574630269072904,0.17336634308424,25,0.0737671786580437,0.156696308272703,,
2014,London ,E12000007,London Overground,8,0,0.513738551207327,9,0,0.42720139494333,,
2014,London ,E12000007,South West Trains,150,0.0556699270446934,0.292494805847809,149,0.035639087745739,0.222212371728097,,
2014,London ,E12000007,Southeastern,205,0.0289483034930856,0.211325516131138,198,0.00300000882355536,0.131541563357539,,
2014,London ,E12000007,Southern,153,0.0495048519532222,0.262373724807166,140,0.00713164668215205,0.143750392366125,,
2014,London ,E12000007,Virgin Trains,27,0.00473149611137076,0.00473149611137076,32,0.00994627673393215,0.00994627673393215,,
2014,London ,E12000007,Total,1031,0.0542457947789462,0.224812053519392,1012,0.0255261305166692,0.146198196261261,,
2014,Manchester,E08000003,Arriva Trains Wales,7,0.0237362344286524,0.105257309226683,7,0,0.139396919610581,,
2014,Manchester,E08000003,CrossCountry,6,0,0.0170293282876064,6,0.00611353711790393,0.110043668122271,,
2014,Manchester,E08000003,East Midland Trains,6,0,0.0898068348475342,6,0,0.0869339333312604,,
2014,Manchester,E08000003,First TransPennine Express,45,0.0723401336049847,0.213193861749912,46,0.0651045663974557,0.175280167952143,,
2014,Manchester,E08000003,Northern Rail,117,0.0411061988524128,0.158592794657135,119,0.0150386573637564,0.112389213652649,,
2014,Manchester,E08000003,Virgin Trains,5,0,0,9,0,0,,
2014,Manchester,E08000003,Total,186,0.0431482639364903,0.15690123747732,193,0.0231765935971852,0.117259268888856,,
2014,Newcastle,E08000021,CrossCountry,7,0,0,9,0,0.0107941403238242,,
2014,Newcastle,E08000021,East Coast,11,0,0,9,0,0,,
2014,Newcastle,E08000021,First TransPennine Express,3,0,0.189295216260716,3,0,0.196929130390302,,
2014,Newcastle,E08000021,Northern Rail,13,0.0298730395817774,0.053024645257655,17,0,0.00875912408759124,,
2014,Newcastle,E08000021,Total,34,0.0101272198492858,0.0425926626379463,38,0,0.0279574725379546,,
2014,Nottingham,E06000018,CrossCountry,5,0,0.024,6,0.00417827298050139,0.00417827298050139,,
2014,Nottingham,E06000018,East Midlands Trains,26,0.00270485135762431,0.0435380888897603,31,0.0122578766370646,0.0630994247821981,,
2014,Nottingham,E06000018,Northern Rail,3,0,0,3,0,0,,
2014,Nottingham,E06000018,Total,34,0.00213657218925794,0.0379518526654855,40,0.0102063787346617,0.0498700467070159,,
2014,Sheffield,E08000019,CrossCountry,12,0.0456120092378753,0.0456120092378753,12,0,0,,
2014,Sheffield,E08000019,East Midlands Trains,12,0,0,12,0,0.00529814729562694,,
2014,Sheffield,E08000019,First TransPennine Express,5,0,0.0267705425263755,6,0.0409681623552468,0.0498781694587961,,
2014,Sheffield,E08000019,Northern Rail,29,0,0.0773638968481375,33,0.00340881421962503,0.0796201607012418,,
2014,Sheffield,E08000019,Total,58,0.0107426585321198,0.0500887696928187,63,0.00628829622256372,0.0425733043144299,,
2015,Birmingham,E08000025,Arriva Trains Wales,6,0,0,6,0,0.049422028996509,,
2015,Birmingham,E08000025,Chiltern Railways [note 2],9,0.0155993431855501,0.200328407224959,9,0,0.0431979368149581,,
2015,Birmingham,E08000025,CrossCountry,36,0.00490444782682226,0.0328090647725351,42,0.00854813256180957,0.0422146238821673,,
2015,Birmingham,E08000025,London Midland,115,0.0302766010465986,0.171287067032146,118,0.0176406078646405,0.162055459815134,,
2015,Birmingham,E08000025,Virgin Trains West Coast,13,0,0.00687040228283727,12,0,0,,
