Year,City,ONS_Code,Trn_Op,AM_Num,AM_PIXC,obsStatus,AM_stand,obsStatus1,PM_Num,obsStatus2,PM_PIXC,obsStatus3,PM_stand,obsStatus4
2011,manchester,E08000003,northern-rail,115,0.0123031496062992,,0.108705161854768,,116,,0.029389721627409,,0.115524625267666,
2011,manchester,E08000003,virgin-trains,5,0.0,,0.0,,9,,0.0,,0.0117585237956945,
2011,manchester,E08000003,total,176,0.0162309976278865,,0.135539756269675,,182,,0.0247335518138583,,0.131374932852863,
2011,newcastle,E08000021,crosscountry,7,0.0,,0.0411267707538392,,9,,0.0,,0.0,
2011,newcastle,E08000021,east-coast,11,0.0,,0.0,,9,,0.0,,0.0,
2011,newcastle,E08000021,first-transpennine-express,2,,r,,r,3,,0.0,,0.253875374799028,
2011,newcastle,E08000021,northern-rail,12,0.005422153369481,,0.0844306738962045,,17,,0.0,,0.0400890868596882,
2011,newcastle,E08000021,total,32,0.0018572275960605,,0.041882372498644,,38,,0.0,,0.0403931047597244,
2011,nottingham,E06000018,crosscountry,5,0.0,,0.0,,6,,0.0,,0.0,
2011,nottingham,E06000018,east-midlands-trains,26,0.0,,0.0101504545359273,,31,,0.0036265360625997,,0.0330586085322873,
2011,nottingham,E06000018,northern-rail,3,0.0,,0.0,,3,,0.0,,0.0,
2011,nottingham,E06000018,total,34,0.0,,0.0082667485463557,,40,,0.0029264646832307,,0.0266769304583,
2011,sheffield,E08000019,crosscountry,12,0.0752140412534984,,0.0752140412534984,,12,,0.0,,0.0,
2011,sheffield,E08000019,east-midlands-trains,11,0.0,,0.0462892787834587,,12,,0.0,,0.0320338650927566,
2011,sheffield,E08000019,first-transpennine-express,5,0.0,,0.0067583766874566,,6,,0.01751422904975,,0.122491899859854,
2011,sheffield,E08000019,northern-rail,30,0.004740834386852,,0.0657395701643489,,32,,0.0209914011127972,,0.119878603945372,
2011,sheffield,E08000019,total,58,0.0213888183152913,,0.0596360068462705,,62,,0.0114993621379843,,0.074352915949779,
2012,birmingham,E08000025,arriva-trains-wales,6,0.0,,0.0529411764705882,,6,,0.0,,0.0425284358763465,
2012,birmingham,E08000025,chiltern-railways-note-2,8,0.0,,0.178192831903079,,7,,0.0,,0.0008163265306122,
2012,birmingham,E08000025,crosscountry,36,0.016979817673864,,0.0707747392679571,,42,,0.0351051936569251,,0.0917103047854424,
2012,birmingham,E08000025,london-midland-note-4,115,0.0025695762175838,,0.0757827324478178,,119,,0.0056757171345298,,0.0877435189446234,
2012,birmingham,E08000025,virgin-trains,15,0.0,,0.0140713905130578,,15,,0.0,,0.0307981563322048,
2012,birmingham,E08000025,total-note-4,180,0.0046172985688452,,0.0756340855663044,,189,,0.0105708184061673,,0.0793242938826496,
2012,bristol,E06000023,crosscountry,9,0.0001553908096307,,0.0128430643992433,,10,,0.021947350991548,,0.0278308534457105,
